CellType	Symbol	AffymetrixID
aDC	CCL1	207533_at
aDC	EBI3	219424_at
aDC	INDO	210029_at
aDC	LAMP3	205569_at
aDC	OAS3	218400_at
Bcells	MS4A1	217418_x_at
Bcells	TCL1A	209995_s_at
Bcells	MS4A1	210356_x_at
Bcells	TCL1A	39318_at
Bcells	HLA-DOB	205671_s_at
Bcells	PNOC	205901_at
Bcells	KIAA0125	206478_at
Bcells	CD19	206398_s_at
Bcells	CR2	205544_s_at
Bcells	IGHG1	213674_x_at
Bcells	FCRL2	221239_s_at
Bcells	BLK	206255_at
Bcells	IGHG1	222285_at
Bcells	COCH	205229_s_at
Bcells	OSBPL10	219073_s_at
Bcells	IGHA1	215118_s_at
Bcells	TNFRSF17	206641_at
Bcells	ABCB4	207819_s_at
Bcells	BLNK	207655_s_at
Bcells	GLDC	204836_at
Bcells	MEF2C	209200_at
Bcells	MEF2C	209199_s_at
Bcells	IGHM	209374_s_at
Bcells	FAM30A	220377_at
Bcells	SPIB	205861_at
Bcells	BCL11A	219497_s_at
Bcells	GNG7	206896_s_at
Bcells	IGKC	215217_at
Bcells	CD72	215925_s_at
Bcells	MICAL3	212715_s_at
Bcells	BCL11A	210347_s_at
Bcells	BACH2	221234_s_at
Bcells	IGL@	217138_x_at
Bcells	CCR9	207445_s_at
Bcells	QRSL1	218948_at
Bcells	DTNB	215565_at
Bcells	HLA-DQA1	212671_s_at
Bcells	SCN3A	210432_s_at
Bcells	QRSL1	218949_s_at
Bcells	SLC15A2	205316_at
Bloodvessels	CDH5	204677_at
CD8Tcells	CD8B	207979_s_at
CD8Tcells	CD8A	205758_at
CD8Tcells	CD8B	215332_s_at
CD8Tcells	PF4	206390_x_at
CD8Tcells	PRR5	47069_at
CD8Tcells	SF1	210172_at
CD8Tcells	LIME1	219541_at
CD8Tcells	DNAJB1	200664_s_at
CD8Tcells	ARHGAP8	219168_s_at
CD8Tcells	GZMM	207460_at
CD8Tcells	SLC16A7	207057_at
CD8Tcells	SFRS7	213649_at
CD8Tcells	APBA2	209871_s_at
CD8Tcells	C4orf15	210054_at
CD8Tcells	LEPROTL1	202595_s_at
CD8Tcells	ZFP36L2	201367_s_at
CD8Tcells	GADD45A	203725_at
CD8Tcells	ZFP36L2	201369_s_at
CD8Tcells	MYST3	216361_s_at
CD8Tcells	ZEB1	208078_s_at
CD8Tcells	ZNF609	212620_at
CD8Tcells	C12orf47	64432_at
CD8Tcells	THUMPD1	206555_s_at
CD8Tcells	VAMP2	201557_at
CD8Tcells	ZNF91	206059_at
CD8Tcells	ZNF22	218006_s_at
CD8Tcells	TMC6	214958_s_at
CD8Tcells	DNAJB1	200666_s_at
CD8Tcells	FLT3LG	210607_at
CD8Tcells	CDKN2AIP	218929_at
CD8Tcells	TSC22D3	207001_x_at
CD8Tcells	TBCC	202495_at
CD8Tcells	RBM3	208319_s_at
CD8Tcells	ABT1	218405_at
CD8Tcells	C19orf6	212574_x_at
CD8Tcells	CAMLG	203538_at
CD8Tcells	PPP1R2	202165_at
CD8Tcells	AES	217729_s_at
CD8Tcells	KLF9	203543_s_at
CD8Tcells	PRF1	214617_at
Cytotoxiccells	KLRD1	210606_x_at
Cytotoxiccells	KLRF1	220646_s_at
Cytotoxiccells	GNLY	37145_at
Cytotoxiccells	GNLY	205495_s_at
Cytotoxiccells	CTSW	214450_at
Cytotoxiccells	KLRB1	214470_at
Cytotoxiccells	KLRD1	207795_s_at
Cytotoxiccells	KLRK1	205821_at
Cytotoxiccells	NKG7	213915_at
Cytotoxiccells	GZMH	210321_at
Cytotoxiccells	KLRD1	207796_x_at
Cytotoxiccells	SIGIRR	218921_at
Cytotoxiccells	ZBTB16	205883_at
Cytotoxiccells	RUNX3	204198_s_at
Cytotoxiccells	APOL3	221087_s_at
Cytotoxiccells	RORA	210426_x_at
Cytotoxiccells	APBA2	209870_s_at
Cytotoxiccells	SIGIRR	52940_at
Cytotoxiccells	WHDC1L1	213908_at
Cytotoxiccells	DUSP2	204794_at
Cytotoxiccells	GZMA	205488_at
DC	CD209	207277_at
DC	CCL17	207900_at
DC	HSD11B1	205404_at
DC	CCL13	206407_s_at
DC	CCL22	207861_at
DC	PPFIBP2	212841_s_at
DC	NPR1	32625_at
Eosinophils	IL5RA	211517_s_at
Eosinophils	KCNH2	205262_at
Eosinophils	TKTL1	216370_s_at
Eosinophils	IL5RA	210744_s_at
Eosinophils	EMR1	207111_at
Eosinophils	KCNH2	210036_s_at
Eosinophils	CCR3	208304_at
Eosinophils	ACACB	49452_at
Eosinophils	THBS1	201108_s_at
Eosinophils	GALC	211810_s_at
Eosinophils	TKTL1	214183_s_at
Eosinophils	RNU2	210230_at
Eosinophils	CLC	206207_at
Eosinophils	THBS1	201109_s_at
Eosinophils	HIST1H1C	209398_at
Eosinophils	CYSLTR2	220813_at
Eosinophils	HRH4	221170_at
Eosinophils	RNASE2	206111_at
Eosinophils	CAT	211922_s_at
Eosinophils	LRP5L	214873_at
Eosinophils	SYNJ1	207594_s_at
Eosinophils	SYNJ1	212990_at
Eosinophils	THBS4	204776_at
Eosinophils	GPR44	206361_at
Eosinophils	KBTBD11	204301_at
Eosinophils	HES1	203394_s_at
Eosinophils	ABHD2	205566_at
Eosinophils	TIPARP	212665_at
Eosinophils	SMPD3	219695_at
Eosinophils	MYO15B	59375_at
Eosinophils	TGIF1	203313_s_at
Eosinophils	RRP12	216360_x_at
Eosinophils	ACACB	43427_at
Eosinophils	IGSF2	207167_at
Eosinophils	HES1	203395_s_at
Eosinophils	RCOR3	218344_s_at
Eosinophils	EPN2	203463_s_at
Eosinophils	C9orf156	222195_s_at
Eosinophils	SIAH1	202981_x_at
Eosinophils	ACACB	221928_at
iDC	CD1B	206749_at
iDC	VASH1	203940_s_at
iDC	F13A1	203305_at
iDC	CD1E	215784_at
iDC	MMP12	204580_at
iDC	FABP4	203980_at
iDC	CLEC10A	206682_at
iDC	SYT17	205613_at
iDC	MS4A6A	219666_at
iDC	CTNS	204925_at
iDC	GUCA1A	206062_at
iDC	CARD9	220162_s_at
iDC	CD1E	208592_s_at
iDC	ABCG2	209735_at
iDC	CD1A	210325_at
iDC	PPARG	208510_s_at
iDC	RAP1GAP	203911_at
iDC	SLC7A8	216604_s_at
iDC	GSTT1	203815_at
iDC	NM_021941	218019_s_at
iDC	FZD2	210220_at
iDC	CSF1R	203104_at
iDC	HS3ST2	219697_at
iDC	CH25H	206932_at
iDC	LMAN2L	221274_s_at
iDC	SLC26A6	221572_s_at
iDC	BLVRB	202201_at
iDC	NUDT9	218375_at
iDC	PREP	204117_at
iDC	TM7SF4	221266_s_at
iDC	TACSTD2	202286_s_at
iDC	CD1C	205987_at
Lymphvessels	PDPN	204879_at
Lymphvessels	VEGFC	209946_at
Lymphvessels	FIGF	206742_at
Macrophages	MARCO	205819_at
Macrophages	CXCL5	214974_x_at
Macrophages	SCG5	203889_at
Macrophages	SULT1C2	205342_s_at
Macrophages	SULT1C2	211470_s_at
Macrophages	MSR1	214770_at
Macrophages	CTSK	202450_s_at
Macrophages	PTGDS	212187_x_at
Macrophages	COLEC12	221019_s_at
Macrophages	GPC4	204984_at
Macrophages	MSR1	208423_s_at
Macrophages	PCOLCE2	219295_s_at
Macrophages	CHIT1	208168_s_at
Macrophages	PTGDS	211748_x_at
Macrophages	KAL1	205206_at
Macrophages	CLEC5A	219890_at
Macrophages	GPC4	204983_s_at
Macrophages	ME1	204058_at
Macrophages	DNASE2B	220380_at
Macrophages	CCL7	208075_s_at
Macrophages	FN1	214701_s_at
Macrophages	CD163	203645_s_at
Macrophages	GM2A	215891_s_at
Macrophages	SCARB2	201647_s_at
Macrophages	BCAT1	214452_at
Macrophages	BCAT1	214390_s_at
Macrophages	RAI14	202052_s_at
Macrophages	MSR1	211887_x_at
Macrophages	COL8A2	52651_at
Macrophages	CD163	215049_x_at
Macrophages	APOE	203381_s_at
Macrophages	CHI3L1	209396_s_at
Macrophages	ATG7	218673_s_at
Macrophages	CD84	211190_x_at
Macrophages	FDX1	203646_at
Macrophages	MS4A4A	219607_s_at
Macrophages	SGMS1	212989_at
Macrophages	EMP1	201324_at
Macrophages	CYBB	203922_s_at
Macrophages	CD68	203507_at
Mastcells	PRG2	211743_s_at
Mastcells	CTSG	205653_at
Mastcells	TPSAB1	215382_x_at
Mastcells	SLC18A2	205857_at
Mastcells	TPSAB1	205683_x_at
Mastcells	MS4A2	207497_s_at
Mastcells	CPA3	205624_at
Mastcells	TPSB2	207134_x_at
Mastcells	TPSAB1	216474_x_at
Mastcells	NM_003293	207741_x_at
Mastcells	TPSAB1	210084_x_at
Mastcells	MS4A2	207496_at
Mastcells	TPSAB1	217023_x_at
